season,city,mean_PRES,mean_HUMI,mean_TEMP,mean_Iws,std_PRES,std_HUMI,std_TEMP,std_Iws,average_total_seasonal_precipitation,seasonal_rainy_days
1.0,0,1014.3919114841664,42.47722243418543,13.977642121327737,28.5167790919508,8.296876033130737,24.247351565630154,8.566421731603912,47.34216043320179,77.44000000000003,17.4
1.0,1,1013.8157133299846,65.04680970305455,18.093828399397893,5.2345281124498,7.00668731255144,19.517864954813888,5.893557835794971,7.696483768558096,183.3800000000011,47.2
1.0,2,1005.287900078273,81.07306763285024,21.906166968381697,7.636926323730448,5.4387486618350716,15.561073134461266,5.058617866171654,12.680008729360857,915.8600008441936,56.0
1.0,3,1012.7132060461416,50.109083134447296,11.145584725536994,31.500972165871122,7.564415149412868,23.417789167690188,8.79547634714735,50.76199265475301,117.04000000000008,21.0
1.0,4,1015.7757393565207,66.13927689307943,15.672895677608059,46.82442313942151,7.066933793649695,20.184085727279374,6.421688425131423,63.055099121174585,306.77999999999975,40.8
2.0,0,1005.2658179600548,67.42735173044672,25.863622503430403,12.02879478579088,4.470636349618822,20.577294313377692,4.274925523735591,17.38141340672177,444.99999999999835,43.4
2.0,1,1005.8812976096501,74.78017075306369,26.15165046843534,4.42137538326763,3.803716787350915,17.00628903870913,3.6800848685850474,6.183806185976636,606.0199999999967,54.0
2.0,2,997.914817266245,79.48958333333333,28.2032608711783,6.747426026665346,3.964060234517173,14.389287727540752,3.006712493059866,11.284771472743456,1052.9799998275948,62.4
2.0,3,1005.6761151590546,75.24639772525244,23.598187311178247,16.757952727918962,4.403576983256502,17.46280003616192,4.031897644482355,24.626596743140922,379.61999999999875,40.2
2.0,4,1005.4354602976468,74.29825456163506,27.978816199376947,53.38015131286159,3.528039458335071,13.859631274033177,4.2088202087864,89.92668040592208,576.2199999999964,45.8
3.0,0,1019.3673300165838,62.2191818684356,12.619487416301316,20.92639190333413,6.269610963855915,25.521807398314255,8.154314151807199,50.479553795467616,200139.87999999992,20.6
3.0,1,1017.345108821957,78.413525218874,18.342033924560454,3.953140732708543,5.39334277525636,15.01308656992293,4.78714695849806,5.409824454709585,232.6400000000005,51.0
3.0,2,1006.0549526735315,74.25892857142857,23.635798227152275,7.197313793195867,4.822980775398645,17.046319305319166,4.6199612086490225,10.557339153829751,397.2800000411984,30.8
3.0,3,1018.178768956289,64.54914897413084,10.90820695807315,18.59117375557538,6.191776690298929,22.023656646669618,8.884939432331395,27.324336665348273,140.28000000000026,21.6
3.0,4,1017.7159871071934,69.12299919419921,19.838759065269944,55.23787268331991,5.465772059651635,16.687698022945533,5.696803537487847,95.2374749237529,310.55999999999904,38.6
4.0,0,1027.1041618138054,46.10722882211352,-2.442658591505552,32.12848202500378,6.607301331421214,24.418121049331344,5.029864247752368,67.01831820049902,13.160000000000007,6.8
4.0,1,1021.7354061012738,73.34271280330823,8.058750097526723,3.8426823749707424,6.09237676729889,17.201841688864338,3.606273589927993,6.295833675889579,22.51999999999994,26.2
4.0,2,1012.3667950581544,68.39929138103675,14.099237464661558,8.972541015257336,4.241349373871535,177.7659184834451,5.005340720043951,13.062074288174035,170.90000003640094,31.8
4.0,3,1025.744383213226,62.14244736470182,-8.537798502190194,16.629362724318213,6.2679543045136885,17.850709904492717,6.771414525627419,22.476540179813302,25.199999999999974,12.6
4.0,4,1025.4026962727835,67.34309516257002,6.219111816019033,49.555560666137985,5.620135674531153,18.170019679994034,4.331874368245075,67.80141821658792,185.6600000000008,33.4
